deed ever really done M 1132
dealt blow after blow M 1066
deep male voice said M 936
dealing blow after blow M 479
deep blue color when M 378
debt many times over M 362
deep into every heart M 339
deep male voice from M 316
deaths over births among M 298
deaths among people aged M 294
debt into which their M 284
deep male voice came M 268
deep worth which lies M 256
deep dark brown eyes M 220
deaths have given rise M 216
deep blue color will M 202
deed take aught from M 202
deep into human life M 195
deaths take place during M 192
deaths will occur among M 182
deny these people their M 180
depth from which these M 176
deaths will occur from M 176
deaths have never been M 176
deaths among women aged M 175
deep breath every time M 154
deaths among people ages M 150
deny young people their M 148
deep fears about what M 142
deep fears about their M 138
depth from which there M 130
deep down within your M 129
debt ratio total debt M 128
depth were taken from M 124
deaths over births during M 124
deny having taken part M 122
deep eyes fixed upon M 122
debt from which there M 122
deaths soon after birth M 120
deep snow which fell M 116
deep meaning which lies M 112
deep into every mind M 112
deaths were taken from M 112
deaths take place among M 112
depth over large areas M 110
deep pits which were M 110
deep ocean floor from M 110
dealt heavy blows upon M 110
debt into fixed rate M 108
deaths take place from M 108
deaths will occur during M 106
deaths among women from M 106
dealing heavy blows upon M 106
deep peace stole over M 104
debt must arise from M 104
deaths from hunger were M 102
deep into every part M 98
deaths among human beings M 98
deed have never been M 96
debt upon which such M 96
deaths taking place among M 96
depth case study work M 92
deny your mother what M 92
deny other human beings M 92
deep breath which came M 92
debt into longer term M 92
deny other people their M 90
deep root which your M 90
deep ocean floor have M 90
deep breath after deep M 90
deep down under their M 87
deep eyes which were M 86
deaths among people over M 86
deals blow after blow M 86
deals were often made M 84
deep well water from M 82
deep down below there M 59
deep down within their M 54
debt three times over M 52
deep down where there M 47
deep meaning often lies M 42
deep into enemy held M 41
dealing among urban gangs D 1010
deep mire where there D 620
deep sigh broke from D 554
deep sigh burst from D 538
deaths took place among D 494
deck hour after hour D 400
deaths took place during D 370
deep sigh heaved from D 348
deaths from snake bite D 345
debt less sinking fund D 338
deep bass voice from D 284
deep into rural areas D 272
dealt five cards face D 268
deep into solid rock D 267
desk from which loan D 254
deaths took place from D 248
deaths from fever were D 220
deep gash which bled D 206
desk from morning till D 204
deer have never been D 204
desk upon which were D 190
deep sigh burst forth D 186
debt ratio would have D 176
deep ruts which were D 174
dewy spring shall gleam D 170
deep nook where once D 169
dealt five cards from D 166
desk hour after hour D 162
deep bass voice said D 156
deep rich sandy loam D 155
deep eyes would hold D 154
deep south would have D 150
deck from morning till D 150
debt into bonds bearing D 146
deed poll under their D 141
deer were taken from D 134
deep rift where there D 128
deals three cards face D 123
deaths from asthma have D 122
deep bass voice like D 120
defy three times their D 119
deck were thrown into D 118
deep scar running from D 116
deer were often seen D 111
depth from upper deck D 106
deep their coral tomb D 106
deep dark chasm like D 106
deck having sprung into D 102
deer were running away D 100
deep bass moves most D 100
deep rich moist soil D 99
dealt three cards face D 99
deep tube wells have D 98
deck like honey from D 98
deep rich black loam D 97
deaths among males aged D 97
deep sigh arose from D 96
deep scar running down D 95
deep into white foam D 92
deep bass voice came D 92
deed more favor bears D 92
deaths from fever have D 88
deep snow would have D 86
deep rich loamy soil D 86
deals four cards face D 86
defy these small deer D 85
deep sobs burst from D 84
deck load thrown over D 82
deer from jumping over D 50
deals five cards face D 44
deer were still there D 40
deep tone calls back D 40
deep rich black soil D 40
