humble divine calls him M 384
humbly thanked heaven for M 308
hunted almost every day M 246
hunted around until she M 181
humble myself rather than M 130
hunted around until they M 115
humans simply could not M 106
humble church which had M 98
hurtling through space and D 516
humane system could not D 324
hurtling through space with D 264
hunter waited until his D 196
humble thyself under her D 174
humble station which they D 156
humane policy which had D 138
hummed softly under her D 132
humble renown which this D 116
humble monkey rather than D 116
hurled entire boats with D 112
hunter should sweep his D 110
humane policy which has D 104
hurtle through space and D 98
humane values rather than D 94
humane spirit which has D 94
hurrying tumbling waves and D 92
hurled through space and D 90
humble sphere shine with D 86
humble little clerk with D 84
hurtling through space for D 82
hunter spirit which had D 82
hummed softly under his D 82
