locations rather than a M 360
lordship knows that i D 740
loitered about for a D 338
logistic model with a D 334
locality rather than a D 316
loanable funds and a D 259
locality which has a D 220
lopsided smile and a D 170
logistic model for a D 156
lonesome place for a D 146
logistic curve with a D 140
loanable funds for a D 127
lovelier sight than a D 124
lordship knows who i D 118
lordship knows how i D 108
locality which had a D 100
lordship moved for a D 86
logistic rather than a D 86
loudness level for a D 53
