uprooted and carried off M 183
upstairs and entered his D 286
upbraids her husband for D 278
upstairs this instant and D 208
upstairs and slammed her D 179
upbraiding her husband for D 174
upbraids his friends for D 166
upstairs and prepare for D 145
upstairs and dressed for D 134
upstairs and entered her D 121
upbraiding her gallant with D 92
upbraiding her husband with D 86
upstairs and checked out D 85
upstairs and greeted them D 81
upstairs and watched him D 50
upstairs and slammed his D 46
upstairs and brought her D 44
upstairs and grabbed her D 43
