vigorous space dash separating M 104
vigorous minds were intended M 90
villages which were situated D 556
vigorous trade union movement D 514
villages which were formerly D 326
villages where their families D 304
villages which were occupied D 262
violations which have occurred D 242
vigilant about their children D 166
vivacity makes their presence D 162
villages which have retained D 162
villages which have remained D 148
villages which were included D 146
villages which were selected D 142
villages which were attacked D 142
villages which have received D 136
villages which were deserted D 128
villages within their district D 126
villages which were surveyed D 120
villages under their authority D 114
virulent human type tubercle D 108
villages which were affected D 92
villages which have recently D 84
